Field,Description
customer_id,A unique identifier for each customer
surname,The customer's last name
credit_score,A numerical value representing the customer's credit score
geography,"The country where the customer resides (France, Spain or Germany)"
gender,The customer's gender (Male or Female)
age,The customer's age
tenure,The number of years the customer has been with the bank
balance,The customer's account balance
num_of_products,"The number of bank products the customer uses (e.g., savings account, credit card)"
has_cr_card,"Whether the customer has a credit card (1 = yes, 0 = no)"
is_active_member,"Whether the customer is an active member (1 = yes, 0 = no)"
estimated_salary,The estimated salary of the customer
churned,"Whether the customer has churned (1 = yes, 0 = no)"
